source,source_txn_id,order_ref,amount,currency,txn_time,status,description
BANK,UTR680715451680,ORD-2026-0036,25600.00,INR,2026-08-04T19:30:00Z,credited,NEFT credit settlement ORD-2026-0036
BANK,UTR771093248086,ORD-2026-0037,3200.00,INR,2026-08-04T15:33:00Z,credited,NEFT credit settlement ORD-2026-0037
BANK,UTR378263982146,ORD-2026-0038,6300.50,INR,2026-08-04T21:07:00Z,credited,NEFT credit settlement ORD-2026-0038
BANK,UTR886753396360,ORD-2026-0039,14100.00,INR,2026-08-04T23:18:00Z,credited,NEFT credit settlement ORD-2026-0039
BANK,UTR171870262174,ORD-2026-0040,36600.50,INR,2026-08-05T01:24:00Z,credited,NEFT credit settlement ORD-2026-0040
BANK,UTR809134316117,ORD-2026-0041,35900.50,INR,2026-08-05T00:05:00Z,credited,NEFT credit settlement ORD-2026-0041
BANK,UTR221969379237,ORD-2026-0042,1900.00,INR,2026-08-05T04:20:00Z,credited,NEFT credit settlement ORD-2026-0042
BANK,UTR474367136959,ORD-2026-0043,13500.00,INR,2026-08-05T06:29:00Z,credited,NEFT credit settlement ORD-2026-0043
BANK,UTR439533942104,ORD-2026-0044,1600.50,INR,2026-08-05T11:17:00Z,credited,NEFT credit settlement ORD-2026-0044
BANK,UTR842474517123,ORD-2026-0045,30100.00,INR,2026-08-05T12:08:00Z,credited,NEFT credit settlement ORD-2026-0045
BANK,UTR513709859317,ORD-2026-0046,19200.00,INR,2026-08-05T12:25:00Z,credited,NEFT credit settlement ORD-2026-0046
BANK,UTR869261796405,ORD-2026-0047,6400.00,INR,2026-08-05T13:02:00Z,credited,NEFT credit settlement ORD-2026-0047
BANK,UTR713900532931,ORD-2026-0048,23200.00,INR,2026-08-05T15:23:00Z,credited,NEFT credit settlement ORD-2026-0048
BANK,UTR102053950240,ORD-2026-0049,11500.00,INR,2026-08-05T16:21:00Z,credited,NEFT credit settlement ORD-2026-0049
BANK,UTR847007661771,ORD-2026-0050,27400.00,INR,2026-08-05T17:04:00Z,credited,NEFT credit settlement ORD-2026-0050
BANK,UTR961183673657,ORD-2026-0051,31600.00,INR,2026-08-06T00:04:00Z,credited,NEFT credit settlement ORD-2026-0051
BANK,UTR161528098851,ORD-2026-0052,37800.00,INR,2026-08-06T02:20:00Z,credited,NEFT credit settlement ORD-2026-0052
BANK,UTR158514936899,ORD-2026-0053,34500.50,INR,2026-08-05T22:03:00Z,credited,NEFT credit settlement ORD-2026-0053
BANK,UTR612018366752,ORD-2026-0054,34100.00,INR,2026-08-06T05:01:00Z,credited,NEFT credit settlement ORD-2026-0054
BANK,UTR679764381561,ORD-2026-0055,37400.00,INR,2026-08-06T06:36:00Z,credited,NEFT credit settlement ORD-2026-0055
BANK,UTR510762268388,ORD-2026-0056,25400.00,INR,2026-08-06T09:02:00Z,credited,NEFT credit settlement ORD-2026-0056
BANK,UTR160529751613,ORD-2026-0057,20800.00,INR,2026-08-06T12:27:00Z,credited,NEFT credit settlement ORD-2026-0057
BANK,UTR355231243292,ORD-2026-0058,21000.00,INR,2026-08-06T09:25:00Z,credited,NEFT credit settlement ORD-2026-0058
BANK,UTR527177449058,ORD-2026-0059,40000.50,INR,2026-08-06T11:29:00Z,credited,NEFT credit settlement ORD-2026-0059
BANK,UTR980793597820,ORD-2026-0060,24100.50,INR,2026-08-06T19:02:00Z,credited,NEFT credit settlement ORD-2026-0060
BANK,UTR466590515186,ORD-2026-0061,18000.00,INR,2026-08-06T18:32:00Z,credited,NEFT credit settlement ORD-2026-0061
BANK,UTR148652816850,ORD-2026-0062,37500.00,INR,2026-08-06T21:21:00Z,credited,NEFT credit settlement ORD-2026-0062
BANK,UTR880592962229,ORD-2026-0063,9700.00,INR,2026-08-06T20:21:00Z,credited,NEFT credit settlement ORD-2026-0063
BANK,UTR735977468862,ORD-2026-0064,2700.50,INR,2026-08-06T23:23:00Z,credited,NEFT credit settlement ORD-2026-0064
BANK,UTR247826137506,ORD-2026-0065,7500.00,INR,2026-08-06T22:03:00Z,credited,NEFT credit settlement ORD-2026-0065
BANK,UTR204727790104,ORD-2026-0066,26200.00,INR,2026-08-07T03:15:00Z,credited,NEFT credit settlement ORD-2026-0066
BANK,UTR798089324609,ORD-2026-0067,28500.50,INR,2026-08-07T07:07:00Z,credited,NEFT credit settlement ORD-2026-0067
BANK,UTR670654051531,ORD-2026-0068,29700.50,INR,2026-08-07T09:11:00Z,credited,NEFT credit settlement ORD-2026-0068
BANK,UTR170430305486,ORD-2026-0069,2700.00,INR,2026-08-07T13:34:00Z,credited,NEFT credit settlement ORD-2026-0069
BANK,UTR765277584161,ORD-2026-0070,2300.00,INR,2026-08-07T14:18:00Z,credited,NEFT credit settlement ORD-2026-0070
BANK,UTR705964016582,ORD-2026-0071,9700.00,INR,2026-08-07T10:20:00Z,credited,NEFT credit settlement ORD-2026-0071
BANK,UTR755719285654,ORD-2026-0072,31600.50,INR,2026-08-07T15:02:00Z,credited,NEFT credit settlement ORD-2026-0072
BANK,UTR731217271551,ORD-2026-0073,1800.00,INR,2026-08-07T18:31:00Z,credited,NEFT credit settlement ORD-2026-0073
BANK,UTR782911467866,ORD-2026-0074,8500.00,INR,2026-08-07T17:23:00Z,credited,NEFT credit settlement ORD-2026-0074
BANK,UTR268018242253,ORD-2026-0075,16700.00,INR,2026-08-07T23:28:00Z,credited,NEFT credit settlement ORD-2026-0075
BANK,UTR992299590010,ORD-2026-0076,15000.00,INR,2026-08-08T00:16:00Z,credited,NEFT credit settlement ORD-2026-0076
BANK,UTR647102767735,ORD-2026-0077,39700.50,INR,2026-08-08T00:39:00Z,credited,NEFT credit settlement ORD-2026-0077
BANK,UTR210469632595,ORD-2026-0078,37200.00,INR,2026-08-08T03:22:00Z,credited,NEFT credit settlement ORD-2026-0078
BANK,UTR004797480162,ORD-2026-0079,26000.50,INR,2026-08-08T06:31:00Z,credited,NEFT credit settlement ORD-2026-0079
BANK,UTR849912165585,ORD-2026-0080,39600.50,INR,2026-08-08T06:23:00Z,credited,NEFT credit settlement ORD-2026-0080
BANK,UTR259526949588,ORD-2026-0081,31300.50,INR,2026-08-08T13:32:00Z,credited,NEFT credit settlement ORD-2026-0081
BANK,UTR974993097289,ORD-2026-0082,15800.50,INR,2026-08-08T14:01:00Z,credited,NEFT credit settlement ORD-2026-0082
BANK,UTR897028385786,ORD-2026-0083,35300.00,INR,2026-08-08T15:02:00Z,credited,NEFT credit settlement ORD-2026-0083
BANK,UTR348434437575,ORD-2026-0084,24000.00,INR,2026-08-08T16:34:00Z,credited,NEFT credit settlement ORD-2026-0084
BANK,UTR747338484219,ORD-2026-0085,6700.50,INR,2026-08-08T17:25:00Z,credited,NEFT credit settlement ORD-2026-0085
BANK,UTR267734540193,ORD-2026-0086,3000.00,INR,2026-08-08T16:40:00Z,credited,NEFT credit settlement ORD-2026-0086
BANK,UTR499154788728,ORD-2026-0087,21800.00,INR,2026-08-09T01:02:00Z,credited,NEFT credit settlement ORD-2026-0087
BANK,UTR329668516122,ORD-2026-0088,10300.00,INR,2026-08-09T03:21:00Z,credited,NEFT credit settlement ORD-2026-0088
BANK,UTR530174268414,ORD-2026-0089,13200.00,INR,2026-08-09T03:16:00Z,credited,NEFT credit settlement ORD-2026-0089
BANK,UTR339187851910,ORD-2026-0090,11800.00,INR,2026-08-09T03:08:00Z,credited,NEFT credit settlement ORD-2026-0090
BANK,UTR072867908740,ORD-2026-0091,27900.00,INR,2026-08-09T08:10:00Z,credited,NEFT credit settlement ORD-2026-0091
BANK,UTR462265676618,ORD-2026-0092,600.00,INR,2026-08-09T06:37:00Z,credited,NEFT credit settlement ORD-2026-0092
BANK,UTR686337524310,ORD-2026-0093,6500.00,INR,2026-08-09T12:34:00Z,credited,NEFT credit settlement ORD-2026-0093
BANK,UTR673830284395,ORD-2026-0094,39700.00,INR,2026-08-09T13:15:00Z,credited,NEFT credit settlement ORD-2026-0094
BANK,UTR687056856624,ORD-2026-0095,15900.00,INR,2026-08-09T16:33:00Z,credited,NEFT credit settlement ORD-2026-0095
BANK,UTR882634351751,ORD-2026-0096,39100.50,INR,2026-08-09T15:15:00Z,credited,NEFT credit settlement ORD-2026-0096
BANK,UTR540331739363,ORD-2026-0097,14200.50,INR,2026-08-09T19:38:00Z,credited,NEFT credit settlement ORD-2026-0097
BANK,UTR535560932048,ORD-2026-0098,19900.50,INR,2026-08-09T22:34:00Z,credited,NEFT credit settlement ORD-2026-0098
BANK,UTR777252287280,ORD-2026-0099,8300.00,INR,2026-08-09T18:21:00Z,credited,NEFT credit settlement ORD-2026-0099
BANK,UTR997700886008,ORD-2026-0100,34700.00,INR,2026-08-10T00:00:00Z,credited,NEFT credit settlement ORD-2026-0100
BANK,UTR398454615679,ORD-2026-0101,15100.00,INR,2026-08-10T01:32:00Z,credited,NEFT credit settlement ORD-2026-0101
BANK,UTR659180339740,ORD-2026-0102,15800.00,INR,2026-08-10T01:02:00Z,credited,NEFT credit settlement ORD-2026-0102
BANK,UTR142939685621,ORD-2026-0103,28300.00,INR,2026-08-10T07:11:00Z,credited,NEFT credit settlement ORD-2026-0103
BANK,UTR773586629619,ORD-2026-0104,5500.50,INR,2026-08-10T08:14:00Z,credited,NEFT credit settlement ORD-2026-0104
BANK,UTR475412126788,ORD-2026-0105,37000.00,INR,2026-08-10T12:05:00Z,credited,NEFT credit settlement ORD-2026-0105
BANK,UTR839826224447,ORD-2026-0106,1800.00,INR,2026-08-10T10:22:00Z,credited,NEFT credit settlement ORD-2026-0106
BANK,UTR371240659657,ORD-2026-0107,9000.50,INR,2026-08-10T15:17:00Z,credited,NEFT credit settlement ORD-2026-0107
BANK,UTR793564651939,ORD-2026-0108,33800.00,INR,2026-08-10T14:19:00Z,credited,NEFT credit settlement ORD-2026-0108
BANK,UTR434266179796,ORD-2026-0109,1800.50,INR,2026-08-10T20:13:00Z,credited,NEFT credit settlement ORD-2026-0109
BANK,UTR965610143888,ORD-2026-0110,2300.00,INR,2026-08-10T19:34:00Z,credited,NEFT credit settlement ORD-2026-0110
BANK,UTR112545738757,ORD-2026-0111,19208.49,INR,2026-08-08T05:00:00Z,credited,Settlement net of MDR 392.01 for ORD-2026-0111
BANK,UTR123828258673,ORD-2026-0112,5292.49,INR,2026-08-08T06:00:00Z,credited,Settlement net of MDR 108.01 for ORD-2026-0112
BANK,UTR033419182553,ORD-2026-0113,20776.00,INR,2026-08-08T07:00:00Z,credited,Settlement net of MDR 424.00 for ORD-2026-0113
BANK,UTR557924991251,ORD-2026-0114,23422.00,INR,2026-08-08T08:00:00Z,credited,Settlement net of MDR 478.00 for ORD-2026-0114
BANK,UTR782827422579,ORD-2026-0115,12446.00,INR,2026-08-08T09:00:00Z,credited,Settlement net of MDR 254.00 for ORD-2026-0115
BANK,UTR767721903404,ORD-2026-0116,3136.00,INR,2026-08-08T10:00:00Z,credited,Settlement net of MDR 64.00 for ORD-2026-0116
BANK,UTR858078361340,ORD-2026-0117,11760.00,INR,2026-08-08T11:00:00Z,credited,Settlement net of MDR 240.00 for ORD-2026-0117
BANK,UTR596292330958,ORD-2026-0118,23030.00,INR,2026-08-08T12:00:00Z,credited,Settlement net of MDR 470.00 for ORD-2026-0118
BANK,UTR604223253672,ORD-2026-0119,14800.00,INR,2026-08-09T11:00:00Z,credited,Primary NEFT credit ORD-2026-0119
BANK,UTR946671168457,ORD-2026-0119,14800.00,INR,2026-08-09T11:12:00Z,credited,"Duplicate bank posting ORD-2026-0119 — same order, second UTR"
BANK,UTR186363745458,ORD-2026-0120,25400.00,INR,2026-08-09T12:00:00Z,credited,Primary NEFT credit ORD-2026-0120
BANK,UTR929750017012,ORD-2026-0120,25400.00,INR,2026-08-09T12:12:00Z,credited,"Duplicate bank posting ORD-2026-0120 — same order, second UTR"
BANK,UTR415415206436,ORD-2026-0121,23000.50,INR,2026-08-09T13:00:00Z,credited,Primary NEFT credit ORD-2026-0121
BANK,UTR110371293870,ORD-2026-0121,23000.50,INR,2026-08-09T13:12:00Z,credited,"Duplicate bank posting ORD-2026-0121 — same order, second UTR"
BANK,UTR155426221890,ORD-2026-0122,900.00,INR,2026-08-09T14:00:00Z,credited,Primary NEFT credit ORD-2026-0122
BANK,UTR927532697311,ORD-2026-0122,900.00,INR,2026-08-09T14:12:00Z,credited,"Duplicate bank posting ORD-2026-0122 — same order, second UTR"
BANK,UTR899940438983,ORD-2026-0123,7600.00,INR,2026-08-09T15:00:00Z,credited,Primary NEFT credit ORD-2026-0123
BANK,UTR640376137918,ORD-2026-0123,7600.00,INR,2026-08-09T15:12:00Z,credited,"Duplicate bank posting ORD-2026-0123 — same order, second UTR"
BANK,UTR109104300684,ORD-2026-0124,1100.00,INR,2026-08-09T16:00:00Z,credited,Primary NEFT credit ORD-2026-0124
BANK,UTR866618892414,ORD-2026-0124,1100.00,INR,2026-08-09T16:12:00Z,credited,"Duplicate bank posting ORD-2026-0124 — same order, second UTR"
BANK,UTR451870534949,ORD-2026-0133,34900.00,INR,2026-08-15T23:00:00Z,credited,Delayed bank credit ORD-2026-0133 — outside 24h window
BANK,UTR603850506413,ORD-2026-0134,24200.00,INR,2026-08-16T00:00:00Z,credited,Delayed bank credit ORD-2026-0134 — outside 24h window
BANK,UTR571918261990,ORD-2026-0135,21900.50,INR,2026-08-18T01:00:00Z,credited,Delayed bank credit ORD-2026-0135 — outside 24h window
BANK,UTR431329121277,ORD-2026-0136,34400.00,INR,2026-08-17T02:00:00Z,credited,Delayed bank credit ORD-2026-0136 — outside 24h window
BANK,UTR490352135680,ORD-2026-0137,21300.00,INR,2026-08-17T03:00:00Z,credited,Delayed bank credit ORD-2026-0137 — outside 24h window
BANK,UTR210032365199,ORD-2026-0138,13800.00,INR,2026-08-17T04:00:00Z,credited,Delayed bank credit ORD-2026-0138 — outside 24h window
BANK,UTR702966706625,ORD-2026-0139,4300.00,INR,2026-08-13T08:00:00Z,credited,Bank credit matches Razorpay for ORD-2026-0139
BANK,UTR870146263838,ORD-2026-0140,11400.00,INR,2026-08-13T09:00:00Z,credited,Bank credit matches Razorpay for ORD-2026-0140
BANK,UTR930407859321,ORD-2026-0141,1400.50,INR,2026-08-13T10:00:00Z,credited,Bank credit matches Razorpay for ORD-2026-0141
BANK,UTR223955905992,ORD-2026-0142,13100.00,INR,2026-08-13T11:00:00Z,credited,Bank credit matches Razorpay for ORD-2026-0142
BANK,UTR593252500292,ORD-2026-0143,29300.00,INR,2026-08-13T12:00:00Z,credited,Bank credit matches Razorpay for ORD-2026-0143
BANK,UTR675289539264,ORD-2026-0144,6100.00,INR,2026-08-13T13:00:00Z,credited,Bank credit matches Razorpay for ORD-2026-0144
BANK,UTR593917251355,ORD-2026-0145,38037.00,INR,2026-08-17T16:00:00Z,credited,Unrelated-looking credit 38037.00 tagged ORD-2026-0145 after a partial refund attempt
BANK,UTR100676267658,ORD-2026-0146,9121.00,INR,2026-08-17T17:00:00Z,credited,Unrelated-looking credit 9121.00 tagged ORD-2026-0146 after a partial refund attempt
BANK,UTR115262181599,ORD-2026-0147,19783.00,INR,2026-08-17T18:00:00Z,credited,Unrelated-looking credit 19783.00 tagged ORD-2026-0147 after a partial refund attempt
BANK,UTR844431069872,ORD-2026-0148,25283.00,INR,2026-08-17T19:00:00Z,credited,Unrelated-looking credit 25283.00 tagged ORD-2026-0148 after a partial refund attempt
BANK,UTR171467741862,ORD-2026-0149,3237.00,INR,2026-08-17T20:00:00Z,credited,Unrelated-looking credit 3237.00 tagged ORD-2026-0149 after a partial refund attempt
BANK,UTR115869380686,ORD-2026-0150,19483.50,INR,2026-08-17T21:00:00Z,credited,Unrelated-looking credit 19483.50 tagged ORD-2026-0150 after a partial refund attempt
