case_id,kind,order_ref,should_match
ORD-2026-0039,EXACT_TRIPLE,ORD-2026-0039,True
ORD-2026-0040,EXACT_TRIPLE,ORD-2026-0040,True
ORD-2026-0041,EXACT_TRIPLE,ORD-2026-0041,True
ORD-2026-0042,EXACT_TRIPLE,ORD-2026-0042,True
ORD-2026-0043,EXACT_TRIPLE,ORD-2026-0043,True
ORD-2026-0044,EXACT_TRIPLE,ORD-2026-0044,True
ORD-2026-0045,EXACT_TRIPLE,ORD-2026-0045,True
ORD-2026-0046,EXACT_TRIPLE,ORD-2026-0046,True
ORD-2026-0047,EXACT_TRIPLE,ORD-2026-0047,True
ORD-2026-0048,EXACT_TRIPLE,ORD-2026-0048,True
ORD-2026-0049,EXACT_TRIPLE,ORD-2026-0049,True
ORD-2026-0050,EXACT_TRIPLE,ORD-2026-0050,True
ORD-2026-0051,EXACT_TRIPLE,ORD-2026-0051,True
ORD-2026-0052,EXACT_TRIPLE,ORD-2026-0052,True
ORD-2026-0053,EXACT_TRIPLE,ORD-2026-0053,True
ORD-2026-0054,EXACT_TRIPLE,ORD-2026-0054,True
ORD-2026-0055,EXACT_TRIPLE,ORD-2026-0055,True
ORD-2026-0056,EXACT_TRIPLE,ORD-2026-0056,True
ORD-2026-0057,EXACT_TRIPLE,ORD-2026-0057,True
ORD-2026-0058,EXACT_TRIPLE,ORD-2026-0058,True
ORD-2026-0059,EXACT_TRIPLE,ORD-2026-0059,True
ORD-2026-0060,EXACT_TRIPLE,ORD-2026-0060,True
ORD-2026-0061,EXACT_TRIPLE,ORD-2026-0061,True
ORD-2026-0062,EXACT_TRIPLE,ORD-2026-0062,True
ORD-2026-0063,EXACT_TRIPLE,ORD-2026-0063,True
ORD-2026-0064,EXACT_TRIPLE,ORD-2026-0064,True
ORD-2026-0065,EXACT_TRIPLE,ORD-2026-0065,True
ORD-2026-0066,EXACT_TRIPLE,ORD-2026-0066,True
ORD-2026-0067,EXACT_TRIPLE,ORD-2026-0067,True
ORD-2026-0068,EXACT_TRIPLE,ORD-2026-0068,True
ORD-2026-0069,EXACT_TRIPLE,ORD-2026-0069,True
ORD-2026-0070,EXACT_TRIPLE,ORD-2026-0070,True
ORD-2026-0071,EXACT_TRIPLE,ORD-2026-0071,True
ORD-2026-0072,EXACT_TRIPLE,ORD-2026-0072,True
ORD-2026-0073,EXACT_TRIPLE,ORD-2026-0073,True
ORD-2026-0074,EXACT_TRIPLE,ORD-2026-0074,True
ORD-2026-0075,EXACT_TRIPLE,ORD-2026-0075,True
ORD-2026-0076,EXACT_TRIPLE,ORD-2026-0076,True
ORD-2026-0077,EXACT_TRIPLE,ORD-2026-0077,True
ORD-2026-0078,EXACT_TRIPLE,ORD-2026-0078,True
ORD-2026-0079,EXACT_TRIPLE,ORD-2026-0079,True
ORD-2026-0080,EXACT_TRIPLE,ORD-2026-0080,True
ORD-2026-0081,EXACT_TRIPLE,ORD-2026-0081,True
ORD-2026-0082,EXACT_TRIPLE,ORD-2026-0082,True
ORD-2026-0083,EXACT_TRIPLE,ORD-2026-0083,True
ORD-2026-0084,EXACT_TRIPLE,ORD-2026-0084,True
ORD-2026-0085,EXACT_TRIPLE,ORD-2026-0085,True
ORD-2026-0086,EXACT_TRIPLE,ORD-2026-0086,True
ORD-2026-0087,EXACT_TRIPLE,ORD-2026-0087,True
ORD-2026-0088,EXACT_TRIPLE,ORD-2026-0088,True
ORD-2026-0089,EXACT_TRIPLE,ORD-2026-0089,True
ORD-2026-0090,EXACT_TRIPLE,ORD-2026-0090,True
ORD-2026-0091,EXACT_TRIPLE,ORD-2026-0091,True
ORD-2026-0092,EXACT_TRIPLE,ORD-2026-0092,True
ORD-2026-0093,EXACT_TRIPLE,ORD-2026-0093,True
ORD-2026-0094,EXACT_TRIPLE,ORD-2026-0094,True
ORD-2026-0095,EXACT_TRIPLE,ORD-2026-0095,True
ORD-2026-0096,EXACT_TRIPLE,ORD-2026-0096,True
ORD-2026-0097,EXACT_TRIPLE,ORD-2026-0097,True
ORD-2026-0098,EXACT_TRIPLE,ORD-2026-0098,True
ORD-2026-0099,EXACT_TRIPLE,ORD-2026-0099,True
ORD-2026-0100,EXACT_TRIPLE,ORD-2026-0100,True
ORD-2026-0101,EXACT_TRIPLE,ORD-2026-0101,True
ORD-2026-0102,EXACT_TRIPLE,ORD-2026-0102,True
ORD-2026-0103,EXACT_TRIPLE,ORD-2026-0103,True
ORD-2026-0104,EXACT_TRIPLE,ORD-2026-0104,True
ORD-2026-0105,EXACT_TRIPLE,ORD-2026-0105,True
ORD-2026-0106,EXACT_TRIPLE,ORD-2026-0106,True
ORD-2026-0107,EXACT_TRIPLE,ORD-2026-0107,True
ORD-2026-0108,EXACT_TRIPLE,ORD-2026-0108,True
ORD-2026-0109,EXACT_TRIPLE,ORD-2026-0109,True
ORD-2026-0110,EXACT_TRIPLE,ORD-2026-0110,True
ORD-2026-0111,BANK_FEE,ORD-2026-0111,False
ORD-2026-0112,BANK_FEE,ORD-2026-0112,False
ORD-2026-0113,BANK_FEE,ORD-2026-0113,False
ORD-2026-0114,BANK_FEE,ORD-2026-0114,False
ORD-2026-0115,BANK_FEE,ORD-2026-0115,False
ORD-2026-0116,BANK_FEE,ORD-2026-0116,False
ORD-2026-0117,BANK_FEE,ORD-2026-0117,False
ORD-2026-0118,BANK_FEE,ORD-2026-0118,False
ORD-2026-0119,DUPLICATE_RECORD,ORD-2026-0119,True
ORD-2026-0120,DUPLICATE_RECORD,ORD-2026-0120,True
ORD-2026-0121,DUPLICATE_RECORD,ORD-2026-0121,True
ORD-2026-0122,DUPLICATE_RECORD,ORD-2026-0122,True
ORD-2026-0123,DUPLICATE_RECORD,ORD-2026-0123,True
ORD-2026-0124,DUPLICATE_RECORD,ORD-2026-0124,True
ORD-2026-0125,MISSING_BANK_RECEIPT,ORD-2026-0125,False
ORD-2026-0126,MISSING_BANK_RECEIPT,ORD-2026-0126,False
ORD-2026-0127,MISSING_BANK_RECEIPT,ORD-2026-0127,False
ORD-2026-0128,MISSING_BANK_RECEIPT,ORD-2026-0128,False
ORD-2026-0129,MISSING_BANK_RECEIPT,ORD-2026-0129,False
ORD-2026-0130,MISSING_BANK_RECEIPT,ORD-2026-0130,False
ORD-2026-0131,MISSING_BANK_RECEIPT,ORD-2026-0131,False
ORD-2026-0132,MISSING_BANK_RECEIPT,ORD-2026-0132,False
ORD-2026-0133,DATE_DRIFT,ORD-2026-0133,False
ORD-2026-0134,DATE_DRIFT,ORD-2026-0134,False
ORD-2026-0135,DATE_DRIFT,ORD-2026-0135,False
ORD-2026-0136,DATE_DRIFT,ORD-2026-0136,False
ORD-2026-0137,DATE_DRIFT,ORD-2026-0137,False
ORD-2026-0138,DATE_DRIFT,ORD-2026-0138,False
ORD-2026-0139,AMOUNT_MISMATCH,ORD-2026-0139,False
ORD-2026-0140,AMOUNT_MISMATCH,ORD-2026-0140,False
ORD-2026-0141,AMOUNT_MISMATCH,ORD-2026-0141,False
ORD-2026-0142,AMOUNT_MISMATCH,ORD-2026-0142,False
ORD-2026-0143,AMOUNT_MISMATCH,ORD-2026-0143,False
ORD-2026-0144,AMOUNT_MISMATCH,ORD-2026-0144,False
ORD-2026-0145,UNRESOLVABLE,ORD-2026-0145,False
ORD-2026-0146,UNRESOLVABLE,ORD-2026-0146,False
ORD-2026-0147,UNRESOLVABLE,ORD-2026-0147,False
ORD-2026-0148,UNRESOLVABLE,ORD-2026-0148,False
ORD-2026-0149,UNRESOLVABLE,ORD-2026-0149,False
ORD-2026-0150,UNRESOLVABLE,ORD-2026-0150,False
